target,text,stance,cut,length
春节放鞭炮,成都1950年春节出奇安静，因为市民们觉得放鞭炮可能属于传统迷信。,2,成都 年 春节 出奇 安静 市民 觉得 放鞭炮 可能 属于 传统 迷信 ,36
开放二胎,目前来说我跟我先生感情还是很好的。但我能够感觉得出他们那边的长辈包括他自己是希望我们能有一个儿子的，虽然他们一直都说儿子姑娘都一样，前提是二胎开放了有了更多的机会。我觉得这都是场面话。我表姐也是二胎做了性别筛查怀孕中期做掉了。我不想承受这种痛苦。儿子真的是有那么好吗？,2,目前 先生 感情 能够 感觉 得出 长辈 包括 希望 一个 儿子 一直 说 儿子 姑娘 前提 二胎 开放 更 机会 觉得 场面话 表姐 二胎 做 性别 筛查 怀孕 中期 做 掉 不想 承受 这种 痛苦 儿子 真的 ,107
俄罗斯在叙利亚的反恐行动,其实俄国和土耳其俱被睿智的圣战份子所间接操控；两国均为了其所谓的核心利益而可能引爆大战的冒险。,2,其实 俄国 土耳其 俱 睿智 圣战 份子 间接 操控 两国均 所谓 核心 利益 可能 引爆 大战 冒险 ,52
开放二胎,从 辽宁省现行政策来看，开放二胎的手续相对，比单独二胎要件少，简化一点。所以，即使在计划生育一胎政策落实最好的地方，独生子女也是最吃亏的一代；当年违规生二胎的，现在办事反而简化。我就不明白，这到底是鼓励违法生育还是鼓励二胎？踏实工作不违法乱纪的民众，反而是这个时代最吃亏的。,1,辽宁省 现行政策 来看 开放 二胎 手续 相对 单独 二胎 要件 少 简化 一点 计划生育 一胎 政策 落实 最好 地方 独生子女 吃亏 一代 当年 违规 生二胎 现在 办事 简化 明白 到底 鼓励 违法 生育 鼓励 二胎 踏实 工作 违法乱纪 民众 时代 吃亏 ,132
IphoneSE,要到下次发布会外观才会有变化，iphone5s价格降低了，嫌贵可以买5s，5s过不了几天就会停产的。在这段时间可以考虑一下。,2,下次 发布会 外观 会 变化 iphones 价格 降低 嫌贵 买 ss 不了 几天 会 停产 段时间 考虑一下 ,57
春节放鞭炮,#新春快乐#“新年到，新年到，姑娘要花，小子要炮。老头儿要顶新毡帽，老太太要块大黏糕。”唱着喜气洋洋的歌谣，又一个新年热热闹闹地向我们走来。贴春联、放鞭炮、办年货，逛庙会，每个春节民俗都有着独特的传统年味儿，在这新旧交替之际阖家团圆之时，说一说你怎么过新年的？,1,新春快乐 新年 新年 姑娘 要花 小子 要炮 老头儿 顶 新 毡帽 老太太 要块 黏 糕 唱 喜气洋洋 歌谣 一个 新年 热热闹闹 地向 走来 贴 春联 放鞭炮 办 年货 逛庙会 每个 春节 民俗 有着 独特 传统 年 味儿 新旧交替 之际 阖家团圆 时说 一说 新年 ,135
深圳禁摩限电,【中国摩企，拿点魄力出来！】   近日，广深两个城市加强“禁摩限电”的深一步行动，让摩托车这个已经脱离中国中高层人士视野的交通工具再次走入关注的热点。根据不完全统计，中国2015年摩托车产量仍然接近 http://t.cn/Rq5zwId,1,中国 摩企拿点 魄力 近日 广深 两个 城市 加强 禁摩 限电 深一步 行动 摩托车 已经 脱离 中国 中 高层人士 视野 交通工具 再次 走入 关注 热点 完全 统计 中国 年 摩托车 产量 仍然 接近 httptcnRqzwId ,117
春节放鞭炮,各位师兄、朋友新年好：为了不伤到那些众生，请大家慈悲为怀，尽量少放，最好不放鞭炮。同时也请学佛的同修们，在春节放鞭炮最激烈的那几天多多念佛，念观世音菩萨，或是其他经咒，持素、放生，并把功德回向给那些被鞭炮炸伤的看得见和看不见得一切众生离苦得乐。,1,师兄 朋友 新年好 不伤 众生 请 慈悲为怀 尽量少 放 最好 放鞭炮 请 学佛 修们 春节 放鞭炮 激烈 几天 多多 念佛 念 观世音 菩萨 经咒 持素 放生 功德 回向 鞭炮 炸伤 看得见 不见得 一切众生 离苦 得乐 ,112
开放二胎,半年前跟上了二胎的潮流，小逗呱呱来到我的身边，重温着育儿的酸酸甜甜，多了一份幸福，多了一份责任，可爱的你总能给我很多的惊喜，撒娇、耍赖、逗人开心是你屡试不爽的绝活爸爸妈妈和哥哥会陪着小宝贝快乐、幸福的成长噢祝贺我们的小宝贝半岁快乐,0,半年前 跟上 二胎 潮流 小逗 呱呱 来到 身边 重温 育儿 酸酸甜甜 一份 幸福 一份 责任 可爱 总能 很多 惊喜 撒娇 耍赖 逗人 开心 屡试不爽 绝活 爸爸妈妈 哥哥 会 陪 小宝贝 快乐 幸福 成长 噢 祝贺 小宝贝 半岁 快乐 ,120
深圳禁摩限电,"【深圳禁摩限电首曰拘留两百多人】""为什么要骑电动车呢？因为你穷而且弱小，为什么要抓骑电动车的市民呢？因为你又穷又弱小。不用听证、不用论证……“L秒拍视频 很难想像，以如此人力物力暴力，仅是对付我们身边坐电单车上班的兄弟姐妹，被拘者多为买不起小车的社会底层，深圳你想干什么？",1,深圳 禁摩 限电 首 曰 拘留 两百多 骑 电动车 穷 弱小 抓 骑 电动车 市民 穷 弱小 不用 听证 不用 论证 L 秒 拍 视频 很难 想像 人力物力 暴力 仅 对付 身边 坐 电单车 上班 兄弟姐妹 拘者 买不起 小车 社会底层 深圳 想干什么 ,127
开放二胎,这周去看望了两个孕妇。都是七十年代人，开放二胎后怀的，清明节聚会也有一个。中国人的生育愿望太强烈了，昨天见的朋友说孕检时见到49岁的孕妇。,2,这周 看望 两个 孕妇 七十年代 开放 二胎 后怀 清明节 聚会 一个 中国 生育 愿望 太 强烈 昨天 见 朋友 说孕 检时 见到 岁 孕妇 ,72
深圳禁摩限电,#深圳禁摩限电#说实话，人家骑个电动车违反哪一条法律了，随便拘留，没收。这是把地方权利凌驾国家法律上把。虽然禁摩出发点是好的，但是这做法太特么粗暴，和流氓地痞没两样,1,深圳 禁摩 限电 说实话 骑个 电动车 违反 哪一条 法律 随便 拘留 没收 地方 权利 凌驾 国家 法律 禁摩 出发点 做法 太特 粗暴 流氓 地痞 没 两样 ,81
深圳禁摩限电,还有很多人不知道是，深圳大马路上跑的很多没上牌电动警车，都是BYD送的！都是BYD送的！都是BYD送的！ ,1,很多 知道 深圳 大马路 跑 很多 没上 牌 电动 警车 BYD 送 BYD 送 BYD 送 ,47
深圳禁摩限电,其实不应该禁，应该加强管理，考证！上牌！拍照！就会好许多！ ,1,其实 应该 禁 应该 加强 管理 考证 牌 拍照 会 ,27
开放二胎,每一个人心里大概都有个闪闪发光的ta 我的遗憾是没有一个骑单车上下课的学生时代&一个帅帅的二胎弟弟#谁的青春不迷茫#,0,一个 心里 大概 闪闪发光 ta 遗憾 没有 一个 骑单车 下课 学生 时代 一个 帅帅 二胎 弟弟 青春 迷茫 ,57
开放二胎,国家开放二胎，准生证办理流程简化了一些，我们居然感激涕零。 就像含冤入狱的犯人顿顿吃的不好，突然改善一次伙食一样,2,国家 开放 二胎 准生证 办理 流程 简化 居然 感激涕零 含冤 入狱 犯人 顿顿 吃 不好 突然 改善 一次 伙食 ,59
深圳禁摩限电,政府为了税收，生产上大力扶持，用到大众手中就重权打压，左一个白眼，右一个黑脸为哪般，这是什么道理！//【深圳禁摩限电何以变成“疯狂抓车抓人”】 http://t.cn/Rqyb9cl,1,政府 税收 生产 大力 扶持 用到 大众 手中 重权 打压 左 一个 白眼 右 一个 黑脸 哪般 道理 深圳 禁摩 限电 变成 疯狂 抓车 抓人 httptcnRqybcl ,87
深圳禁摩限电,买四轮被限，买两轮被禁，呵呵，普通人只能自行了断了 ,1,买 四轮 被限买 两轮 禁 普通人 只能 自行 断 ,26
深圳禁摩限电,@深圳交警 不能弄个电摩专用道吗…路口放一个小区进出口这种电动栏杆，绿灯放行红灯关闭。闯红灯或行驶机动车道直接罚款200并暂扣电动车，缴纳罚款后才能拿回电动车。直接杜绝电摩对百姓生活影响真的很大！在国外都有自行车车道为什么中国就没有电动车车道？ |丽水·温溪...,2,深圳 交警 不能 弄个 电摩 专用道 路口 放 一个 小区 进出口 这种 电动 栏杆 绿灯 放行 红灯 关闭 闯红灯 行驶 机动车道 直接 罚款 暂扣 电动车 缴纳 罚款 回 电动车 直接 杜绝 电摩 百姓生活 影响 真的 很大 国外 自行车 车道 中国 没有 电动车 车道 丽 水温 溪 ,145
深圳禁摩限电,深圳禁摩限电，说是为了民众安全，但电动车的死亡率多高？强行推出，是否违反了国家的立法法？深圳交警称电动车违章多禁止电动车那是找借口，过于牵强。9成以上的道路交通事故与汽车有关，汽车为何不禁行，制定这些政策的都是权贵，禁不禁和他们都没关系，谁让这些政府是为人民（币）服务呢？,1,深圳 禁摩 限电 说 民众 安全 电动车 死亡率 多高 强行 推出 是否 违反 国家 立法法 深圳 交警 称 电动车 违章 禁止 电动车 找 借口 过于 牵强 成 道路 交通事故 汽车 汽车 不禁 行 制定 政策 权贵 禁 不禁 没关系 政府 人民币 服务 ,129
俄罗斯在叙利亚的反恐行动,欧洲在多死点人他就知道了，可惜了欧洲的百姓，被政客当做炮灰了,1,欧洲 死点 知道 可惜 欧洲 百姓 政客 当做 炮灰 ,27
深圳禁摩限电,#深圳禁摩限电#啥时候把四个轮子的也禁了，那样就没车祸了！,1,深圳 禁摩 限电 啥时候 四个 轮子 禁 没 车祸 ,26
深圳禁摩限电,深圳“禁摩限电”和“外地车限行范围”是不是在为实体经济做准备？：想到这三个八竿子打不着的话题，但是脑子以抽搐就感觉好像冥冥之中有点关系在呼唤着我。 深圳的禁摩限电是雷声大雨点也大,2,深圳 禁摩 限电 外地 车限行 范围 是不是 实体 经济 做 准备 想到 三个 八竿子打不着 话题 脑子 抽搐 感觉 好像 冥冥之中 有点 关系 呼唤 深圳 禁摩 限电 雷声大雨 点 ,92
IphoneSE,我想众筹买iPhonese手机，有谁想要支持我的，以后有了钱，加倍奉还。说到做到～～～～～～ ,2,我想众 筹买 iPhonese 手机 想要 支持 以后 有了钱 加倍 奉还 说到做到 ,43
深圳禁摩限电,马路上，经常可以看到电摩的肆意乱传，就像广场舞大妈不管别人感受尽情高音跳舞，但这不是深圳官方可以横蛮禁止电摩的理由，骑电摩者那么随意与那么多贪腐官员现象具有同根文化，你们为何就没有禁止官员职业？横蛮进电摩，诱发了我们中国的诡异哲学根基：我们与世界的关系、人与人的关系是混乱不堪的,1,马路上 经常 看到 电摩 肆意 乱传 广场 舞 大妈 感受 尽情 高音 跳舞 深圳 官方 横蛮 禁止 电摩 理由 骑电摩者 随意 贪腐 官员 现象 具有 同根 文化 没有 禁止 官员 职业 横蛮 进电摩 诱发 中国 诡异 哲学 根基 世界 关系人 关系 混乱 不堪 ,133
春节放鞭炮,#春节不放鞭炮的好处#1、省钱，可以买其他更有价值的东西；2、不污染环境，我们的环境本来就差到极点了；3、不会失火，保障你和你周围人的安全；4、警察/环卫工人等可以在家好好过个年；5、做公益，用买鞭炮的钱去帮助真正需要的人；6、不扰民，想想你家附近有多少婴幼儿会被吵醒；7、欢迎补充……,1,春节 放鞭炮 好处 省钱 买 更 价值 东西 污染环境 环境 本来 差 到极点 不会 失火 保障 周围 安全 警察 环卫工人 在家 好好 过个 年 做 公益 买 鞭炮 钱 帮助 真正 需要 扰民 想想 你家 附近 婴幼儿 会 吵醒 欢迎 补充 ,122
深圳禁摩限电,不知道说什么好了，那就沉默吧！沉默之后呢？是消亡还是爆发？//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGPSED,1,知道 说 沉默 沉默 之后 消亡 爆发 深圳 禁摩 限电 对准 餐饮业 自行车 送 外卖 httptcnRqGPSED ,60
春节放鞭炮,对于中国传统佳节放鞭炮的习俗，你如何看？目前，禁止放鞭炮；由于放鞭炮，空气污染加重；没有鞭炮声，春节氛围不浓？亲，你怎么看这些问题呢？,2,中国 传统 佳节 放鞭炮 习俗 目前 禁止 放鞭炮 放鞭炮 空气污染 加重 没有 鞭炮声 春节 氛围 浓亲 问题 ,57
IphoneSE,一直想买小屏手机，iphone se来的太及时。所以我这个用了两年的老人机为什么还不坏[拜拜]，我都不能理直气壮的找我爸要求换手机,0,一直 想 买 小屏 手机 iphonese 太 及时 两年 老人 机 不坏 拜拜 不能 理直气壮 找 爸 要求 换 手机 ,61
春节放鞭炮,#少燃烟花爆竹 远离十面“霾”伏# 据环保专家解释，鞭炮烟花不完全燃烧时会产生很多有害物质，释放大量一氧化碳，增加空气中细粒子(即PM2.5)的浓度。此外，烟花爆竹燃放后产生的化学物质和颗粒物会直接刺激人的鼻黏膜、呼吸道黏膜，危害身体健康。因此，我们倡导春节不放鞭炮http://t.cn/zY5hT3A,1,少燃 烟花爆竹 远离 十面 霾 伏据 环保 专家 解释 鞭炮 烟花 完全 燃烧 时会 产生 很多 有害物质 释放 大量 一氧化碳 增加 空气 中细 粒子 PM 浓度 烟花爆竹 燃放 产生 化学物质 颗粒物 会 直接 刺激 鼻黏膜 呼吸道 黏膜 危害 身体健康 倡导 春节 放鞭炮 httptcnzYhTA ,153
深圳禁摩限电,#新闻早餐# 【本地新闻】交管部门：南京不会禁摩限电，但将继续严格监管。,2,新闻 早餐 新闻 交管部门 南京 不会 禁摩 限电 继续 严格 监管 ,35
开放二胎,梦见自己怀了二胎马上要生了，直接吓醒。,2,梦见 怀 二胎 马上 要生 直接 吓醒 ,20
IphoneSE,国内零售店iPhoneSE每天上架一小时后卖光：相反，iPhone SE在美国本土得到的回响似乎不是很大。,2,国内 零售店 iPhoneSE 每天 上架 小时 卖光 相反 iPhoneSE 美国 本土 得到 回响 似乎 很大 ,58
IphoneSE,品质不怎么好，，电源键，还有左边的调声音的按键都是松的，，而且电源键，送的程度很大，，一直在摇晃。。非常不好,1,品质 不怎么 电源 键 左边 调 声音 按键 松 电源 键 送 程度 很大 一直 摇晃 非常 不好 ,50
俄罗斯在叙利亚的反恐行动,配件会是国内提供，土耳其没有自己成熟的团队，其实还是买了中国的技术，土耳其与中国关系还是好的。,2,配件 会 国内 提供 土耳其 没有 成熟 团队 其实 买 中国 技术 土耳其 中国 关系 ,45
深圳禁摩限电,"深圳禁摩限电对准餐饮业:只可自行车送外卖
相信这些规则制定者没吃过外卖，骑自行车送外卖不要说送到还能不能是热的，就只是来回晃好好的饭都会变成折箩。人类的进步就因为当权者不想管理，硬逼着人类要退回原始社会，靠人力运输而不是机器。朱门酒肉臭，路有冻死骨。",1,深圳 禁摩 限电 对准 餐饮业 自行车 送 外卖 相信 规则 制定者 没吃过 外卖 骑 自行车 送 外卖 不要 说 送到 不能 热 来回 晃 好好 饭 会 变成 折箩 人类 进步 当权者 不想 管理 硬逼 人类 退回 原始社会 人力 运输 机器 朱门酒肉臭 路有冻死骨 ,135
俄罗斯在叙利亚的反恐行动,全世界应该联合起来灭了俄罗斯，这才是世界最大的恐怖组织和恐怖策源地。,1,全世界 应该 联合 起来 灭 俄罗斯 这才 世界 最大 恐怖组织 恐怖 策源地 ,40
春节放鞭炮,发表了博文 《【乡镇论坛（文化版）2013年第一期】春节祭祖》 - 春节祭祖 石广田  春节是辞旧迎新的日子，也是中华民族最重要的传统节日。春节的礼俗繁多，如：贴对联、放鞭炮、拜年、串亲戚等。在中原 http://t.cn/zYhGBnY,0,发表 博文 乡镇 论坛 文化版 年 第一期 春节 祭祖 春节 祭祖 石 广田 春节 辞旧迎新 日子 中华民族 重要 传统节日 春节 礼俗 繁多 如贴 对联 放鞭炮 拜年 串亲戚 中原 httptcnzYhGBnY ,107
深圳禁摩限电,所有的开心 难过 烦躁 郁闷 有你就够了 再烦生活还是得继续,2,开心 难过 烦躁 郁闷 够 烦 生活 继续 ,22
深圳禁摩限电,【是时候给电动车制定国家标准了】 不赞成禁摩限电，特别不赞成限电。对大多数老百姓来说电动车多方便快捷啊。下力气让老百姓遵守交规才是正道 http://t.cn/RqiNiw7,1,电动车 制定 国家标准 赞成 禁摩 限电 特别 赞成 限电 大多数 老百姓 电动车 方便快捷 力气 老百姓 遵守 交规 正道 httptcnRqiNiw ,77
开放二胎,计划生育的是他们 开放二胎的也是他们,1,计划生育 开放 二胎 ,11
IphoneSE,港行 iPhone SE 价格也有了，16GB 3488 港币（约 2916 人民币），64GB 4288 港币（约 3585 人民币）。也就是说，可以用低于 3000 块的价格拿到 iPhone SE 了。,2,港行 iPhoneSE 价格 GB 港币 约 人民币 GB 港币 约 人民币 也就是说 低于 块 价格 拿到 iPhoneSE ,64
俄罗斯在叙利亚的反恐行动,啥是“爱国反对派”？感觉只要与美国土耳其沙特无关的叙利亚人组织提供的情报都比较可信。,2,爱国 反对派 感觉 美国 土耳其 沙特 无关 叙利亚人 组织 提供 情报 比较 可信 ,43
俄罗斯在叙利亚的反恐行动,叙利亚土库曼居民点阿尔-艾萨维耶的行政长官穆斯塔法·卡菲表示，土库曼人为俄罗斯飞行员在他们的土地上遇难感到遗憾，并希望俄罗斯帮助维护和平，并打击恐怖主义和土耳其的侵略。,0,叙利亚 土库曼 居民点 阿尔艾 萨 维耶 行政长官 穆斯塔法 卡菲 表示 土库曼 人为 俄罗斯 飞行员 土地 遇难 感到遗憾 希望 俄罗斯 帮助 维护和平 打击 恐怖主义 土耳其 侵略 ,93
IphoneSE,尽管它可能不会打破什么销量纪录，但应该不会再像iPhone 5c一样以惨淡结局收场了。,2,可能 不会 打破 销量 纪录 应该 不会 iPhonec 惨淡 结局 收场 ,38
春节放鞭炮,【[杂谈贴]春节该不该放鞭炮？紫竹邀请大家畅所欲言谈看法】今年无雾霾最严重的一年，也一直有人呼吁春节不放鞭炮，保护环境和空气。紫竹邀请大家进来谈谈春节该不该放鞭炮。【跟帖说明放鞭炮或者是不放鞭炮的理由】http://t.cn/8F50jS9,2,杂谈 贴 春节 该不该 放鞭炮 紫竹 邀请 畅所欲言 谈 看法 今年 无雾 霾 严重 一年 一直 有人 呼吁 春节 放鞭炮 保护环境 空气 紫竹 邀请 进来 谈谈 春节 该不该 放鞭炮 跟帖 说明 放鞭炮 放鞭炮 理由 httptcnFjS ,121
深圳禁摩限电,【禁摩限电没有说出的半句话：把穷人从城市里清理出去】【海龙：农民进城买楼可以，骑电动车不行！】 http://t.cn/RqqZoTo,1,禁摩 限电 没有 说出 半句话 穷人 城市 里 清理 出去 海龙 农民 进城 买楼 骑 电动车 不行 httptcnRqqZoTo ,66
开放二胎,#坚持看书100天# 07《富兰克林传》第六-七章 159页起 富兰克林真真是一位思想前卫的智者。国家最近正在治理人口问题，人家在2百多年前就预测，限制当地人口问题的因素将会是“财富”，因为有钱人在结婚、生子问题上会更加“谨慎”。如果我们国家早想到这个问题，现在也不需用#开放二胎# 来坑我们90后了,1,坚持 看书 天 富兰克林 传 第六 七章 页 富兰克林 真真是 一位 思想前卫 智者 国家 最近 正在 治理 人口 问题 百多年 前 预测 限制 人口 问题 因素 将会 财富 有钱人 结婚 生子 问题 会 更加 谨慎 国家 早 想到 问题 现在 需用 开放 二胎 坑 ,134
深圳禁摩限电,#深圳禁摩限电#小哥说有人要抓，不给我送了，直接给我强退？？？,1,深圳 禁摩 限电 小哥 说 有人 抓 送 直接 强退 ,27
开放二胎,总想趁着自己还没有二胎 父母身体还康健 带着他们出去转转 然而远的地方欧美澳他们难以负荷十多个小时的飞行 近的地方新马泰他们已经去过 日韩他们说没意思 国内绝大多数地方也已经走过 剩下西藏新疆之类的也有路途遥远高原反应的问题 唉 或许能常伴左右就是他们对远嫁女儿的一点小要求了吧,0,总 想 没有 二胎 父母 身体 康健 带 出去 转转 远 地方 欧美 澳 难以 负荷 十多个 小时 飞行 近 地方 新马泰 已经 去过 日 韩 说 没意思 国内 绝大多数 地方 已经 走过 剩下 西藏 新疆 路途遥远 高原 反应 问题 或许 能常伴 左右 远嫁 女儿 一点 要求 ,140
深圳禁摩限电,河源也是4月1开始禁摩限电 ,2,河源 月 禁摩 限电 ,11
春节放鞭炮,【盘点蛇年春节长假热词】爱环保不放鞭炮，爱光盘拒绝剩宴，蛇年春节，人们掀起了过年的新风尚。我们一起来看看今年的热词有哪些 @扬子晚报,2,盘点 蛇 年 春节 长假 热词 爱 环保 放鞭炮 爱 光盘 拒绝 剩宴 蛇 年 春节 掀起 过年 新风尚 起来 看看 今年 热词 扬子晚报 ,70
开放二胎,男权社会里的典型！国家既然开放二胎政策，是否也要出台相应维护女性工作权利的政策！,1,男权 社会 里 典型 国家 开放 二胎 政策 是否 出台 相应 维护 女性 工作 权利 政策 ,47
IphoneSE,PhoneSE就这么大，iPhone6就这么大，iPhoneplus就这么大，尺寸就像1元、5元、100元，人民币那样。,2,PhoneSE iPhone iPhoneplus 尺寸 元元元 人民币 ,37
俄罗斯在叙利亚的反恐行动,还有就是没钱了，哈哈，国内一半的人都吃饭都有问题，还打仗？而且这种战争一看就是长线，耗都耗死你！有点常识都知道，兵马未动，粮草先行，现在战争打的根本是钱！,1,没钱 国内 一半 吃饭 问题 打仗 这种 战争 一看 长线 耗都耗 死 有点 常识 知道 兵马未动 粮草先行 现在 战争 根本 钱 ,66
深圳禁摩限电,深圳“禁摩限电”成热点话题，普及覆盖,2,深圳 禁摩 限电 成 热点话题 普及 覆盖 ,22
开放二胎,昨天找L主任看妇科，以前怀头胎的时候泌乳素高在他那调过，几个月中药下去泌乳素正常了。后来生了女儿，现在开放二胎想凑个好字，（听说他有方哦）,0,昨天 找 L 主任 妇科 以前 怀 头胎 泌乳素 高 调过 几个 月 中药 下去 泌乳素 正常 后来 生 女儿 现在 开放 二胎 想 凑个 好字 听说 有方 ,79
开放二胎,#拟取消晚婚晚育奖励#生二胎的时候罚款，一声令下，开放二胎，就逼的我们结婚，婚假都没有怎么去度蜜月，造娃子。将来是不是晚婚都要罚款，现在想想，高中毕业就应该结婚生娃。被伟大的祖国忽悠的够够的了。,1,拟 取消 晚婚晚育 奖励 生二胎 罚款 一声令下 开放 二胎 逼 结婚 婚假 没有 度蜜月 造 娃子 将来 是不是 晚婚 罚款 现在 想想 高中毕业 应该 结婚 生娃 伟大 祖国 忽悠 够 够 ,97
开放二胎,相关单位对医闹处理一直不令人满意，我想开一个脑洞，老龄化导致开放二胎，那老龄化会不会导致某些组织希望老人们死的快点呢，怎么才能死的快点，医生消极工作，汇报完毕,1,相关 单位 医闹 处理 一直 令人满意 想开 一个 脑洞 老龄化 导致 开放 二胎 老龄化 会 不会 导致 组织 希望 老 死 快点 死 快点 医生 消极 工作汇报 完毕 ,86
IphoneSE,用了五年爱疯4的胖子终于等到了适合他的机型  爱疯se…,0,五年 爱 疯 胖子 终于 适合 机型 爱 疯 se ,26
深圳禁摩限电,交管部门监管管理前提是必须做到公平，电单车作为交通工具，节能减排，节省道路资源，电单车所有者理直气壮地应该和小车所有者有同样平等的交通权。禁摩禁电是蔑视弱势群体权益的懒政行为！深圳交管部门必须检讨错误的作为！ ,1,交管部门 监管 管理 前提 必须 做到 公平 电单车 交通工具 节能 减排 节省 道路 资源 电单车 所有者 理直气壮 应该 小车 所有者 同样 平等 交通 权禁摩禁 电是 蔑视 弱势群体 权益 懒政 行为 深圳 交管部门 必须 检讨 错误 ,121
IphoneSE,从2007年到现在，苹果已经推出了10多款iPhone，而在这些手机中，iPhone 5s的颜值绝对能排到前三，或许是基于这个原因，iPhone SE基本保持了与iPhone 5s一样的外形，同时加入了玫瑰金配色。iPhone SE将于3月29日在内地首发，售价是3288元起，你会第一时间买吗？,0,年 现在 苹果 已经 推出 多款 iPhone 手机 中 iPhones 颜值 绝对 能排 前 三 或许 原因 iPhoneSE 基本 保持 iPhones 外形 加入 玫瑰 金 配色 iPhoneSE 月 日 内地 首发 售价 元 会 第一 时间 买 ,127
开放二胎,#电影左耳上映一周年# 真快，转眼《左耳》已经上映一周年，那些感动在心里还不曾远去。期待导哥的二胎#电影嫌疑人x的献身#,2,电影 左耳 上映 一周年 真 快 转眼 左耳 已经 上映 一周年 感动 心里 不曾 远去 期待 导哥 二胎 电影 嫌疑人 x 献身 ,66
开放二胎,苦逼的一周又开始了，每天5:50起床，老妈真是受不鸟。下半年初二儿子就能住校了，我的苦日子也算熬到头了。所以那些天天在我耳边唠叨生二胎的都一边玩去，到时我开始享受生活，到处旅行，你们还苦哈哈的在换尿片，接送孩子，想想都嘚瑟。,2,苦 逼 一周 每天 起床 老妈 真是 受不鸟 下半年 初二 儿子 住校 苦日子 算 熬 到头 天天 耳边 唠叨 生二胎 一边 玩去 时 享受 生活 到处 旅行 苦哈哈 换 尿片 接送 孩子 想想 嘚 瑟 ,102
俄罗斯在叙利亚的反恐行动,被伊拉克阿富汗伤了。阿富汉不就是例子，不打吧，国内舆论不乐意，打吧，这几年化的钱能买多少山羊？半点价值都没有。在利比亚问题上，美国国内民意就很不愿意出兵了,2,伊拉克 阿富汗 伤 阿富汉 例子 国内 舆论 不乐意 几年 化 钱 买 山羊 半点 价值 没有 利比亚 问题 美国 国内 民意 愿意 出兵 ,70
俄罗斯在叙利亚的反恐行动,俄土战争三百年，普京大帝本来也不惧怕延续当年的辉煌。稍微不同的是，土鸡的背后是整个北约。估计，大概，应该，普京大帝的决心也只能下在到底“误炸”几处土鸡的房子这等事上面。,1,俄土 战争 三百年 普京 大帝 本来 惧怕 延续 当年 辉煌 稍微 不同 土鸡 背后 整个 北约 估计 大概 应该 普京 大帝 决心 只能 到底 误炸 几处 土鸡 房子 事 上面 ,90
开放二胎,刚刚老妈和老爸聊天，说：现在国家开放了，能生二胎的都去生了，五十多的都想再生一个，巴不得生八个呢！就在这时！我弟上去说了一句：一胎生八个的那是,0,刚刚 老妈 老爸 聊天 说 现在 国家 开放 生二胎 生 五十多 想 再生 一个 巴不得 生 八个 我弟 上去 说 一句 胎生 八个 ,67
IphoneSE,iPhone 5SE有多种不同的原型机正在进行内部测试，既有搭载iPhone 6s同款A9处理器、M9协处理器的，也有的使用A8、M8，而据最新进展，A9、M9的希望越来越大。存储容量方面，iPhone 5SE仍然会是16GB起步，然后就是64GB。,2,iPhoneSE 多种不同 原型机 正在 进行 内部测试 既有 搭载 iPhones 同款 A 处理器 M 协处理器 使用 AM 而据 最新进展 AM 希望 越来越 存储容量 方面 iPhoneSE 仍然 会 GB 起步 GB ,114
开放二胎,偶遇初中同学，女，见面就聊谈朋友没，结婚没，生小孩没，有去相亲没，谁谁结婚了，谁谁生二胎了，最后一句，你不急吗？爸妈不催吗？  现代中国女性真的是全身心投入到抗衰老中又把自己往衰老的死路上逼.如果我说婚姻应该建立在爱之上，会不会被喷幼稚.,2,偶遇 初中 同学 女 见面 聊 谈朋友 没 结婚 没 生小孩 没有 相亲 没 结婚 生二胎 最后 一句 急 爸妈 催 现代 中国 女性 真的 全身心 投入 抗衰老 中 衰老 死 路上 逼 说 婚姻 应该 建立 爱 之上 会 不会 喷 幼稚 ,120
开放二胎,二胎政策的开放，使很多人都措手不及，但看了节目，觉得多生一个也未尝不是一件幸福的事呢！,0,二胎 政策 开放 很多 措手不及 节目 觉得 多生 一个 未尝 一件 幸福 事 ,40
开放二胎,#风中的四叶草#姚晨怀二胎！天下虐恋莫过于此！当女孩和男孩同时爱上了一个男孩！注定有个人会伤情|秒拍视频 @音乐人魏碧海,2,风中 四叶草 姚晨怀 二胎 天下 虐恋 莫过于此 女孩 男孩 爱上 一个男孩 注定 个人 会 伤情 秒 拍 视频 音乐 人魏 碧海 ,66
深圳禁摩限电,我同意网友们的提议，要禁摩禁电，先让公务员们放下公车，体验一下普通人上下班，再来制订政策。,1,同意 网友 提议 禁摩禁 电先 公务员 放下 公车 体验 一下 普通人 上下班 制订 政策 ,46
开放二胎,看到这个名字我只想告诉这孩子的父母国家已经开放二胎政策！,0,看到 名字 想 告诉 孩子 父母 国家 已经 开放 二胎 政策 ,32
